names_items,prixes_items,disponbilites_items,refrences_items
Pc de Bureau Gamer MYTEK AMD RYZEN 5 5600G 8Go 512Go SSD - Noir,"999,000 DT",En stock,[SONIC-5600G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go 500Go SSD - Noir,"1 049,000 DT",En stock,[APU-5600G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 32Go 500Go SSD - Noir,"1 169,000 DT",En stock,[APU-5600G-32G]
Pc de Bureau Gamer MYTEK i5 10è Gén 8Go OCPC RADEON RX 580 8Go SE,"1 269,000 DT",Sur commande 48h,[ARCADE-10400-580]
Pc de Bureau Gamer MYTEK i3 10è Gén 8Go MSI GTX 1650 D6 VENTUS XS OCV3,"1 299,000 DT",Sur commande 48h,[ARCADE-10100-1650]
Pc de Bureau Gamer MYTEK i5 10è Gén 16Go OCPC RADEON RX 580 8Go SE,"1 349,000 DT",En arrivage,[ARCADE-10400-580-16G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 8Go MSI GTX 1650 D6 VENTUS XS OCV3,"1 309,000 DT",Sur commande 48h,[ARCADE-4500-1650]
Pc de Bureau Gamer MYTEK i3 10è Gén 16Go MSI GTX 1650 D6 VENTUS XS OCV3,"1 359,000 DT",Sur commande 48h,[ARCADE-10100-1650-16G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 8Go OCPC RADEON RX 580 8Go SE,"1 359,000 DT",Sur commande 48h,[ARCADE-5600G-580]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI GTX 1650 D6 VENTUS XS OCV3,"1 419,000 DT",Sur commande 48h,[ARCADE-4500-1650-16G]
Pc de Bureau Gamer MYTEK i3 12è Gén 8Go MSI GTX 1650 D6 VENTUS XS OCV3,"1 359,000 DT",Sur commande 48h,[ARCADE-12100-1650]
Pc de Bureau Gamer MYTEK i5 10è Gén 8Go MSI GTX 1650 D6 VENTUS XS OCV3,"1 399,000 DT",Sur commande 48h,[ARCADE-10400-1650]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go OCPC RADEON RX 580 8Go SE,"1 379,000 DT",Sur commande 48h,[ARCADE-5600G-580-16G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G OCPC RADEON RX 580 8Go SE,"1 429,000 DT",En stock,[SNOWOLF-5500-580]
Pc de Bureau Gamer MYTEK i5 10è Gén 16G OCPC RADEON RX 580 8Go SE,"1 389,000 DT",En stock,[SNOWOLF-10400-580]
